call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
AutoMirrored/Filled/ArrowBack	Filled	ArrowBack	true	arrow_back	arrow_back	direct	e5c4	true	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_back/materialsymbolsrounded/arrow_back_fill1_24px.svg
AutoMirrored/Filled/ArrowForward	Filled	ArrowForward	true	arrow_forward	arrow_forward	direct	e5c8	true	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_forward/materialsymbolsrounded/arrow_forward_fill1_24px.svg
AutoMirrored/Outlined/ArrowBack	Outlined	ArrowBack	true	arrow_back	arrow_back	direct	e5c4	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_back/materialsymbolsrounded/arrow_back_24px.svg
AutoMirrored/Outlined/ArrowForward	Outlined	ArrowForward	true	arrow_forward	arrow_forward	direct	e5c8	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_forward/materialsymbolsrounded/arrow_forward_24px.svg
AutoMirrored/Outlined/ArrowForwardIos	Outlined	ArrowForwardIos	true	arrow_forward_ios	arrow_forward_ios	direct	e5e1	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_forward_ios/materialsymbolsrounded/arrow_forward_ios_24px.svg
AutoMirrored/Outlined/ArrowRight	Outlined	ArrowRight	true	arrow_right	arrow_right	direct	e5df	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_right/materialsymbolsrounded/arrow_right_24px.svg
AutoMirrored/Outlined/DriveFileMove	Outlined	DriveFileMove	true	drive_file_move	drive_file_move	direct	e9a1	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/drive_file_move/materialsymbolsrounded/drive_file_move_24px.svg
AutoMirrored/Outlined/List	Outlined	List	true	list	list	direct	e896	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/list/materialsymbolsrounded/list_24px.svg
AutoMirrored/Outlined/OpenInNew	Outlined	OpenInNew	true	open_in_new	open_in_new	direct	e89e	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/open_in_new/materialsymbolsrounded/open_in_new_24px.svg
AutoMirrored/Outlined/PlaylistAdd	Outlined	PlaylistAdd	true	playlist_add	playlist_add	direct	e03b	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/playlist_add/materialsymbolsrounded/playlist_add_24px.svg
AutoMirrored/Outlined/PlaylistPlay	Outlined	PlaylistPlay	true	playlist_play	playlist_play	direct	e05f	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/playlist_play/materialsymbolsrounded/playlist_play_24px.svg
AutoMirrored/Outlined/Sort	Outlined	Sort	true	sort	sort	direct	e164	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/sort/materialsymbolsrounded/sort_24px.svg
AutoMirrored/Outlined/TextSnippet	Outlined	TextSnippet	true	text_snippet	text_snippet	direct	f1c6	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/text_snippet/materialsymbolsrounded/text_snippet_24px.svg
AutoMirrored/Outlined/ViewList	Outlined	ViewList	true	view_list	view_list	direct	e8ef	true	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/view_list/materialsymbolsrounded/view_list_24px.svg
Filled/Backspace	Filled	Backspace	false	backspace	backspace	direct	e14a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/backspace/materialsymbolsrounded/backspace_fill1_24px.svg
Filled/Build	Filled	Build	false	build	build	direct	f8cd	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/build/materialsymbolsrounded/build_fill1_24px.svg
Filled/Cancel	Filled	Cancel	false	cancel	cancel	direct	e888	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/cancel/materialsymbolsrounded/cancel_fill1_24px.svg
Filled/CheckCircle	Filled	CheckCircle	false	check_circle	check_circle	direct	f0be	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/check_circle/materialsymbolsrounded/check_circle_fill1_24px.svg
Filled/Close	Filled	Close	false	close	close	direct	e5cd	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/close/materialsymbolsrounded/close_fill1_24px.svg
Filled/Download	Filled	Download	false	download	download	direct	f090	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/download/materialsymbolsrounded/download_fill1_24px.svg
Filled/DownloadDone	Filled	DownloadDone	false	download_done	download_done	direct	f091	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/download_done/materialsymbolsrounded/download_done_fill1_24px.svg
Filled/Error	Filled	Error	false	error	error	direct	f8b6	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/error/materialsymbolsrounded/error_fill1_24px.svg
Filled/FileDownload	Filled	FileDownload	false	file_download	file_download	direct	f090	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/file_download/materialsymbolsrounded/file_download_fill1_24px.svg
Filled/Fingerprint	Filled	Fingerprint	false	fingerprint	fingerprint	direct	e90d	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/fingerprint/materialsymbolsrounded/fingerprint_fill1_24px.svg
Filled/Info	Filled	Info	false	info	info	direct	e88e	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/info/materialsymbolsrounded/info_fill1_24px.svg
Filled/Key	Filled	Key	false	key	key	direct	e73c	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/key/materialsymbolsrounded/key_fill1_24px.svg
Filled/KeyboardArrowRight	Filled	KeyboardArrowRight	false	keyboard_arrow_right	keyboard_arrow_right	direct	e315	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/keyboard_arrow_right/materialsymbolsrounded/keyboard_arrow_right_fill1_24px.svg
Filled/Lock	Filled	Lock	false	lock	lock	direct	e899	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/lock/materialsymbolsrounded/lock_fill1_24px.svg
Filled/LockOpen	Filled	LockOpen	false	lock_open	lock_open	direct	e898	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/lock_open/materialsymbolsrounded/lock_open_fill1_24px.svg
Filled/RestartAlt	Filled	RestartAlt	false	restart_alt	restart_alt	direct	f053	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/restart_alt/materialsymbolsrounded/restart_alt_fill1_24px.svg
Filled/SdCardAlert	Filled	SdCardAlert	false	sd_card_alert	sd_card_alert	direct	f057	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/sd_card_alert/materialsymbolsrounded/sd_card_alert_fill1_24px.svg
Filled/Security	Filled	Security	false	security	security	direct	e32a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/security/materialsymbolsrounded/security_fill1_24px.svg
Filled/Settings	Filled	Settings	false	settings	settings	direct	e8b8	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/settings/materialsymbolsrounded/settings_fill1_24px.svg
Filled/Subscriptions	Filled	Subscriptions	false	subscriptions	subscriptions	direct	e064	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/subscriptions/materialsymbolsrounded/subscriptions_fill1_24px.svg
Filled/Subtitles	Filled	Subtitles	false	subtitles	subtitles	direct	e048	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/subtitles/materialsymbolsrounded/subtitles_fill1_24px.svg
Filled/Terminal	Filled	Terminal	false	terminal	terminal	direct	eb8e	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/terminal/materialsymbolsrounded/terminal_fill1_24px.svg
Filled/Timer	Filled	Timer	false	timer	timer	direct	e425	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/timer/materialsymbolsrounded/timer_fill1_24px.svg
Filled/VideoLibrary	Filled	VideoLibrary	false	video_library	video_library	direct	e04a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/video_library/materialsymbolsrounded/video_library_fill1_24px.svg
Filled/Warning	Filled	Warning	false	warning	warning	direct	f083	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/warning/materialsymbolsrounded/warning_fill1_24px.svg
Outlined/AccountBalance	Outlined	AccountBalance	false	account_balance	account_balance	direct	e84f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/account_balance/materialsymbolsrounded/account_balance_24px.svg
Outlined/AccountBalanceWallet	Outlined	AccountBalanceWallet	false	account_balance_wallet	account_balance_wallet	direct	e850	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/account_balance_wallet/materialsymbolsrounded/account_balance_wallet_24px.svg
Outlined/Add	Outlined	Add	false	add	add	direct	e145	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/add/materialsymbolsrounded/add_24px.svg
Outlined/AddLink	Outlined	AddLink	false	add_link	add_link	direct	e178	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/add_link/materialsymbolsrounded/add_link_24px.svg
Outlined/Archive	Outlined	Archive	false	archive	archive	direct	e149	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/archive/materialsymbolsrounded/archive_24px.svg
Outlined/ArrowForward	Outlined	ArrowForward	false	arrow_forward	arrow_forward	direct	e5c8	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/arrow_forward/materialsymbolsrounded/arrow_forward_24px.svg
Outlined/ArtTrack	Outlined	ArtTrack	false	art_track	art_track	direct	e060	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/art_track/materialsymbolsrounded/art_track_24px.svg
Outlined/AssignmentReturn	Outlined	AssignmentReturn	false	assignment_return	assignment_return	direct	e860	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/assignment_return/materialsymbolsrounded/assignment_return_24px.svg
Outlined/AttachMoney	Outlined	AttachMoney	false	attach_money	attach_money	direct	e227	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/attach_money/materialsymbolsrounded/attach_money_24px.svg
Outlined/AudioFile	Outlined	AudioFile	false	audio_file	audio_file	direct	eb82	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/audio_file/materialsymbolsrounded/audio_file_24px.svg
Outlined/AutoAwesome	Outlined	AutoAwesome	false	auto_awesome	auto_awesome	direct	e65f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/auto_awesome/materialsymbolsrounded/auto_awesome_24px.svg
Outlined/BarChart	Outlined	BarChart	false	bar_chart	bar_chart	direct	e26b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bar_chart/materialsymbolsrounded/bar_chart_24px.svg
Outlined/BatteryChargingFull	Outlined	BatteryChargingFull	false	battery_charging_full	battery_charging_full	direct	e1a3	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/battery_charging_full/materialsymbolsrounded/battery_charging_full_24px.svg
Outlined/Bolt	Outlined	Bolt	false	bolt	bolt	direct	ea0b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bolt/materialsymbolsrounded/bolt_24px.svg
Outlined/Bookmark	Outlined	Bookmark	false	bookmark	bookmark	direct	e8e7	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bookmark/materialsymbolsrounded/bookmark_24px.svg
Outlined/BookmarkAdd	Outlined	BookmarkAdd	false	bookmark_add	bookmark_add	direct	e598	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/bookmark_add/materialsymbolsrounded/bookmark_add_24px.svg
